,SMILES,hit,tan to nearest abx,tan to nearest ts,row_num,matching_frags,cluster
370,O=C(Nc1nnc(-c2cccnc2)s1)c1ccc(Cl)c(Cl)c1,0.6161367702484131,0.37951167728237795,0.4027681660899654,243,[0],30
371,CC1=CC(C)=C2N=C(NC(=O)C3=CC(Cl)=C(Cl)C=C3)SC2=C1,0.518967524766922,0.42203856749311297,0.473953013278856,244,[0],72
376,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=NN=C(S1)C1CCCO1,0.5215694010257721,0.38873994638069703,0.39466484268125857,245,[0],22
377,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=CC=C2OC(=NC2=C1)C1=CC(Cl)=C(Cl)C=C1,0.6315752059221268,0.4823321554770318,0.4577020202020202,246,[0],18
379,OC(=O)C(N1CCN(CC1)C1=CC(Cl)=C(Cl)C=C1)C1=CNC2=CC(Cl)=CC=C12,0.760547571182251,0.47545504688361834,0.4983902124919511,247,"[13, 14, 15]",19
381,ClC1=CC=C(C=C1)C1=CC(=NN1)C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.5225618582963943,0.334788029925187,0.3984547461368653,248,"[2, 83]",46
382,ClC1=CC=C(C=C1)N1CCC(CC1)NC1COC2=CC=CC=C2C1,0.5347295117378235,0.3569620253164557,0.43636363636363634,249,[25],0
384,OC1=CC=CC(NC(=O)C2=CC(NC(=O)C3=CC(Cl)=C(Cl)C=C3)=CC=C2)=C1,0.5181482505798339,0.34590163934426227,0.4868965517241379,250,[0],25
385,ClC1=CC=C(C=C1Cl)C(=O)NC1=CC=CN=C1NC(=O)C1=CC=C(Cl)C(Cl)=C1,0.6955591487884522,0.34365558912386707,0.4015670910871694,251,[0],14
387,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=NOC2=CC=CC=C12,0.5136894950270653,0.3750711439954468,0.3861111111111111,252,[0],14
388,Cc1cc(Cl)ccc1OC(C)C(=O)NCc1ccc(Cl)c(Cl)c1,0.5623580086231231,0.3173076923076923,0.41114982578397213,253,"[2, 16, 17]",21
389,O=C(CCC(=O)NCc1ccc(Cl)c(Cl)c1)NCc1ccc(Cl)c(Cl)c1,0.6950897264480591,0.3659217877094972,0.36654135338345867,254,[2],69
390,CC(Oc1cccc(Cl)c1)C(=O)NCc1ccc(Cl)c(Cl)c1,0.5480399245023727,0.3231441048034934,0.3827993254637437,255,"[2, 16, 17]",21
392,O=C(NCc1ccc(Cl)c(Cl)c1)c1ccc(Cl)cc1Cl,0.6601440048217774,0.3128834355828221,0.4036697247706422,256,[2],29
394,O=C(NCc1ccc(Cl)c(Cl)c1)c1ccc(Br)o1,0.5347636213898659,0.24757281553398058,0.46142649199417757,257,[2],46
395,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=NN=C(S1)C1=CC=C(Br)C=C1,0.5716566926240921,0.35181236673773986,0.3996478873239437,258,[0],33
396,ClC1=CC=C(C=C1Cl)C(=O)NC1=NN=C(CC2=CNC3=CC=CC=C23)S1,0.5403370869159698,0.430327868852459,0.44565217391304346,259,[0],22
397,CC(Oc1ccc(Cl)cc1Cl)C(=O)NCc1ccc(Cl)c(Cl)c1,0.7173660999536514,0.31377899045020463,0.4444444444444444,260,"[2, 16, 17]",21
400,O=C(Nc1ccc(F)c(Cl)c1)c1cccc(C(=O)Nc2ccc(F)c(Cl)c2)n1,0.5506812852621078,0.35477386934673366,0.39375,261,[1],23
401,O=C(NCc1ccc(Cl)c(Cl)c1)c1ccccc1Cl,0.517064844071865,0.3283261802575107,0.41603053435114506,262,[2],29
